ticker,ltp_received_time,ltp_received_cpu,signal_generated_time,signal_generated_cpu,order_submitted_time,order_submitted_cpu,delta_signal,delta_signal_cpu,delta_order,delta_order_cpu
ORCL,7044.9,223337552.2,7120.8,223338135.6,,,75.9,583.4,,
COST,7044.9,223337552.2,7124.2,223338138.9,,,79.3,586.7,,
NFLX,7044.9,223337552.2,7127.5,223338142.2,,,82.6,590.0,,
ORCL,7139.3,223340289.5,7211.7,223340808.1,,,72.4,518.6,,
COST,7139.3,223340289.5,7214.2,223340810.7,,,75.0,521.1,,
NFLX,7139.3,223340289.5,7216.7,223340813.1,,,77.4,523.6,,
ORCL,7229.2,223342960.2,7304.1,223343495.5,,,74.9,535.3,,
COST,7229.2,223342960.2,7306.6,223343498.1,,,77.5,537.8,,
NFLX,7229.2,223342960.2,7309.1,223343500.5,,,79.9,540.3,,
ORCL,7321.4,223345648.6,7393.6,223346207.3,,,72.2,558.7,,
COST,7321.4,223345648.6,7396.1,223346209.8,,,74.8,561.2,,
NFLX,7321.4,223345648.6,7398.6,223346212.3,,,77.2,563.6,,
ORCL,7410.0,223348361.5,7483.2,223348894.5,,,73.2,533.0,,
COST,7410.0,223348361.5,7485.7,223348897.0,,,75.7,535.5,,
NFLX,7410.0,223348361.5,7488.1,223348899.4,,,78.1,538.0,,
