ticker,ltp_received_time,ltp_received_cpu,signal_generated_time,signal_generated_cpu,order_submitted_time,order_submitted_cpu,delta_signal,delta_signal_cpu,delta_order,delta_order_cpu
TSLA,28747.4,177629084.7,28858.4,177629843.8,,,111.0,759.1,,
NFLX,28747.4,177629084.7,28860.9,177629846.2,,,113.5,761.6,,
AVGO,28747.4,177629084.7,28863.3,177629848.6,,,115.9,764.0,,
ORCL,28747.4,177629084.7,28865.7,177629851.0,,,118.3,766.4,,
TSLA,28924.5,177749243.7,29035.2,177749936.0,,,110.6,692.2,,
NFLX,28924.5,177749243.7,29038.1,177749938.8,,,113.5,695.1,,
AVGO,28924.5,177749243.7,29040.5,177749941.3,,,116.0,697.5,,
ORCL,28924.5,177749243.7,29042.9,177749943.6,,,118.3,699.9,,
TSLA,29100.8,177869325.4,29212.6,177870085.1,,,111.9,759.6,,
NFLX,29100.8,177869325.4,29215.0,177870087.5,,,114.3,762.1,,
AVGO,29100.8,177869325.4,29217.4,177870089.9,,,116.6,764.4,,
ORCL,29100.8,177869325.4,29219.7,177870092.2,,,119.0,766.8,,
TSLA,29277.3,177989455.4,29388.8,177990214.9,,,111.5,759.6,,
NFLX,29277.3,177989455.4,29391.2,177990217.4,,,113.9,762.0,,
AVGO,29277.3,177989455.4,29393.6,177990219.8,,,116.3,764.4,,
ORCL,29277.3,177989455.4,29396.0,177990222.2,,,118.7,766.8,,
TSLA,29451.8,178109606.2,29564.2,178110308.6,,,112.4,702.4,,
NFLX,29451.8,178109606.2,29567.0,178110311.4,,,115.2,705.2,,
AVGO,29451.8,178109606.2,29569.4,178110313.8,,,117.5,707.6,,
ORCL,29451.8,178109606.2,29571.7,178110316.1,,,119.9,709.9,,
TSLA,29630.1,178229819.9,29740.4,178230508.7,,,110.3,688.8,,
NFLX,29630.1,178229819.9,29742.8,178230511.1,,,112.7,691.3,,
AVGO,29630.1,178229819.9,29745.2,178230513.5,,,115.1,693.6,,
ORCL,29630.1,178229819.9,29747.6,178230515.9,,,117.5,696.0,,
TSLA,29805.4,178349867.2,29918.0,178351343.6,,,112.6,1476.4,,
NFLX,29805.4,178349867.2,29920.5,178351346.1,,,115.0,1478.9,,
AVGO,29805.4,178349867.2,29922.8,178351348.4,,,117.4,1481.3,,
ORCL,29805.4,178349867.2,29925.2,178351350.8,,,119.8,1483.6,,
TSLA,29980.2,178469796.1,30089.3,178470508.8,,,109.1,712.7,,
NFLX,29980.2,178469796.1,30092.1,178470511.5,,,111.9,715.5,,
AVGO,29980.2,178469796.1,30094.5,178470513.9,,,114.3,717.8,,
ORCL,29980.2,178469796.1,30096.9,178470516.3,,,116.6,720.2,,
TSLA,30154.4,178589892.6,30266.5,178590606.6,,,112.1,714.0,,
NFLX,30154.4,178589892.6,30268.9,178590609.0,,,114.6,716.5,,
AVGO,30154.4,178589892.6,30271.3,178590611.4,,,116.9,718.8,,
ORCL,30154.4,178589892.6,30273.7,178590613.8,,,119.3,721.2,,
TSLA,30330.7,178708967.7,30444.9,178709712.2,,,114.3,744.5,,
NFLX,30330.7,178708967.7,30447.3,178709714.6,,,116.7,746.9,,
AVGO,30330.7,178708967.7,30449.7,178709717.0,,,119.0,749.2,,
ORCL,30330.7,178708967.7,30452.0,178709719.3,,,121.3,751.6,,
TSLA,30511.7,178829139.3,30623.3,178829837.8,,,111.6,698.5,,
NFLX,30511.7,178829139.3,30625.7,178829840.3,,,114.0,701.0,,
AVGO,30511.7,178829139.3,30628.0,178829842.6,,,116.3,703.3,,
ORCL,30511.7,178829139.3,30630.4,178829845.0,,,118.7,705.7,,
TSLA,30688.1,178949197.0,30800.7,178949893.5,,,112.6,696.5,,
NFLX,30688.1,178949197.0,30803.5,178949896.3,,,115.4,699.3,,
AVGO,30688.1,178949197.0,30805.9,178949898.7,,,117.8,701.7,,
ORCL,30688.1,178949197.0,30808.3,178949901.1,,,120.2,704.1,,
TSLA,30866.2,179069259.6,30979.3,179069983.9,,,113.1,724.3,,
NFLX,30866.2,179069259.6,30982.7,179069987.3,,,116.5,727.7,,
AVGO,30866.2,179069259.6,30985.9,179069990.6,,,119.7,731.0,,
ORCL,30866.2,179069259.6,30989.2,179069993.8,,,123.0,734.3,,
TSLA,31046.2,179189409.8,31158.0,179190126.1,,,111.8,716.3,,
NFLX,31046.2,179189409.8,31160.4,179190128.6,,,114.2,718.7,,
AVGO,31046.2,179189409.8,31162.7,179190130.9,,,116.6,721.1,,
ORCL,31046.2,179189409.8,31165.1,179190133.3,,,118.9,723.5,,
TSLA,31221.7,179309489.4,31334.4,179310216.2,,,112.8,726.8,,
NFLX,31221.7,179309489.4,31337.2,179310219.0,,,115.6,729.6,,
AVGO,31221.7,179309489.4,31339.6,179310221.4,,,118.0,732.0,,
ORCL,31221.7,179309489.4,31342.0,179310223.8,,,120.3,734.3,,
TSLA,31400.7,179429636.0,31513.1,179430380.6,,,112.5,744.5,,
NFLX,31400.7,179429636.0,31515.5,179430383.0,,,114.9,746.9,,
AVGO,31400.7,179429636.0,31517.9,179430385.3,,,117.2,749.3,,
ORCL,31400.7,179429636.0,31520.3,179430387.7,,,119.6,751.6,,
TSLA,31578.1,179549788.7,31691.6,179550499.5,,,113.5,710.7,,
NFLX,31578.1,179549788.7,31694.5,179550502.3,,,116.4,713.6,,
AVGO,31578.1,179549788.7,31696.9,179550504.7,,,118.8,716.0,,
ORCL,31578.1,179549788.7,31699.3,179550507.1,,,121.1,718.3,,
TSLA,31756.3,179669876.5,31869.7,179670588.5,,,113.4,712.0,,
