date,ticker,metric_type,slow_window,fast_window,long_entry,short_entry,min_reversals,opt_params,tolerance,pop_size,max_iter,train_metric,valid_metric,duration
2025-09-03 17:43:27,NVDA,delta simple,13.372498006484022,11.128939847227866,16.404993788675377,80.87674728972593,7.946967565876787,"[np.float64(13.372498006484022), np.float64(11.128939847227866), np.float64(16.404993788675377), np.float64(80.87674728972593), np.float64(7.946967565876787)]",0.005,3,4,-0.38652063912961104,-0.4947164598242557,04m 58s
2025-09-03 17:43:27,NVDA,delta ratio,13.372498006484022,11.128939847227866,16.404993788675377,80.87674728972593,7.946967565876787,"[np.float64(13.372498006484022), np.float64(11.128939847227866), np.float64(16.404993788675377), np.float64(80.87674728972593), np.float64(7.946967565876787)]",0.005,3,4,-0.38652063912961104,-0.4947164598242557,
2025-09-03 17:43:27,MSFT,delta simple,63.260766785878744,46.14893321613337,18.898609635923513,80.72080473683403,7.544405876847632,"[np.float64(63.260766785878744), np.float64(46.14893321613337), np.float64(18.898609635923513), np.float64(80.72080473683403), np.float64(7.544405876847632)]",0.005,3,4,-1.1456966626214211,-1.2491570459671328,04m 54s
2025-09-03 17:43:27,MSFT,delta ratio,63.260766785878744,46.14893321613337,18.898609635923513,80.72080473683403,7.544405876847632,"[np.float64(63.260766785878744), np.float64(46.14893321613337), np.float64(18.898609635923513), np.float64(80.72080473683403), np.float64(7.544405876847632)]",0.005,3,4,-1.1456966626214211,-1.2491570459671328,
2025-09-03 17:43:27,AAPL,delta simple,172.05918190706356,24.465844448388214,34.162734034336324,80.81166999285037,5.923724620307338,"[np.float64(172.05918190706356), np.float64(24.465844448388214), np.float64(34.162734034336324), np.float64(80.81166999285037), np.float64(5.923724620307338)]",0.05,20,4,-0.3898724016866,-0.32323708855275346,05m 02s
2025-09-03 17:43:27,AAPL,delta ratio,172.05918190706356,24.465844448388214,34.162734034336324,80.81166999285037,5.923724620307338,"[np.float64(172.05918190706356), np.float64(24.465844448388214), np.float64(34.162734034336324), np.float64(80.81166999285037), np.float64(5.923724620307338)]",0.05,20,4,-0.3898724016866,-0.32323708855275346,
2025-09-03 17:43:27,AMZN,delta simple,155.87081274796498,39.636409309935814,23.701163642206815,84.16280924847587,8.44011230362996,"[np.float64(155.87081274796498), np.float64(39.636409309935814), np.float64(23.701163642206815), np.float64(84.16280924847587), np.float64(8.44011230362996)]",0.005,15,4,-0.47592420464811414,-0.5852402191807549,05m 06s
2025-09-03 17:43:27,AMZN,delta ratio,155.87081274796498,39.636409309935814,23.701163642206815,84.16280924847587,8.44011230362996,"[np.float64(155.87081274796498), np.float64(39.636409309935814), np.float64(23.701163642206815), np.float64(84.16280924847587), np.float64(8.44011230362996)]",0.005,15,4,-0.47592420464811414,-0.5852402191807549,
2025-09-03 17:43:27,GOOGL,delta simple,192.11466885274334,28.666670934851542,33.10525569249979,86.20747422285531,6.664646455703199,"[np.float64(192.11466885274334), np.float64(28.666670934851542), np.float64(33.10525569249979), np.float64(86.20747422285531), np.float64(6.664646455703199)]",0.005,15,4,-0.6805236154878883,-0.5388330912565213,05m 04s
2025-09-03 17:43:27,GOOGL,delta ratio,192.11466885274334,28.666670934851542,33.10525569249979,86.20747422285531,6.664646455703199,"[np.float64(192.11466885274334), np.float64(28.666670934851542), np.float64(33.10525569249979), np.float64(86.20747422285531), np.float64(6.664646455703199)]",0.005,15,4,-0.6805236154878883,-0.5388330912565213,
2025-09-03 17:43:27,GOOG,delta simple,155.57676489542263,19.95528532994963,22.538939297102797,87.30809177455156,7.615354617853823,"[np.float64(155.57676489542263), np.float64(19.95528532994963), np.float64(22.538939297102797), np.float64(87.30809177455156), np.float64(7.615354617853823)]",0.05,3,4,-0.6856792730012481,-1.0402906695197824,05m 03s
2025-09-03 17:43:27,GOOG,delta ratio,155.57676489542263,19.95528532994963,22.538939297102797,87.30809177455156,7.615354617853823,"[np.float64(155.57676489542263), np.float64(19.95528532994963), np.float64(22.538939297102797), np.float64(87.30809177455156), np.float64(7.615354617853823)]",0.05,3,4,-0.6856792730012481,-1.0402906695197824,
2025-09-03 17:43:27,META,delta simple,92.43789969742643,37.47025461701195,25.952649313035586,82.03490813804945,7.838434504756991,"[np.float64(92.43789969742643), np.float64(37.47025461701195), np.float64(25.952649313035586), np.float64(82.03490813804945), np.float64(7.838434504756991)]",0.01,3,4,-0.8910286447485148,-1.0001117857445676,05m 07s
2025-09-03 17:43:27,META,delta ratio,92.43789969742643,37.47025461701195,25.952649313035586,82.03490813804945,7.838434504756991,"[np.float64(92.43789969742643), np.float64(37.47025461701195), np.float64(25.952649313035586), np.float64(82.03490813804945), np.float64(7.838434504756991)]",0.01,3,4,-0.8910286447485148,-1.0001117857445676,
2025-09-03 17:43:27,AVGO,delta simple,65.75287771709225,46.81794587297561,31.365047820370453,75.72254893058471,6.454344745428402,"[np.float64(65.75287771709225), np.float64(46.81794587297561), np.float64(31.365047820370453), np.float64(75.72254893058471), np.float64(6.454344745428402)]",0.05,3,4,-0.46510304669624186,-0.44200657084772854,05m 13s
2025-09-03 17:43:27,AVGO,delta ratio,65.75287771709225,46.81794587297561,31.365047820370453,75.72254893058471,6.454344745428402,"[np.float64(65.75287771709225), np.float64(46.81794587297561), np.float64(31.365047820370453), np.float64(75.72254893058471), np.float64(6.454344745428402)]",0.05,3,4,-0.46510304669624186,-0.44200657084772854,
